0,000	18,353	18,441	1,928
1,000	18,353	18,441	1,619
2,000	18,353	18,441	1,620
3,000	18,353	18,441	1,789
4,000	18,353	18,441	2,108
5,000	18,353	18,441	2,031
6,000	18,353	18,441	2,178
7,000	18,353	18,441	2,042
8,000	18,353	18,441	2,029
9,000	18,353	18,441	2,058
10,000	18,353	18,441	2,036
11,000	18,353	18,441	2,195
12,000	18,353	18,441	1,913
13,000	18,353	18,441	2,095
14,000	18,353	18,441	1,671
15,000	18,353	18,441	1,611
16,000	18,353	18,441	1,914
17,000	18,353	18,441	1,304
18,000	18,353	18,441	1,273
19,000	18,353	18,441	1,134
20,000	18,353	18,441	1,567
21,000	18,353	18,441	1,058
22,000	18,353	18,441	1,298
23,000	18,353	18,441	1,116
24,000	18,441	18,529	1,228
25,000	18,441	18,529	1,120
26,000	18,441	18,529	1,153
27,000	18,441	18,529	1,038
28,000	18,441	18,529	1,289
29,000	18,441	18,529	1,055
30,000	18,441	18,529	1,053
31,000	18,441	18,529	1,473
32,000	18,441	18,529	1,620
33,000	18,441	18,529	1,268
34,000	18,441	18,529	1,650
35,000	18,441	18,529	1,710
36,000	18,441	18,529	1,610
37,000	18,441	18,529	2,056
38,000	18,441	18,529	1,916
39,000	18,441	18,529	2,056
40,000	18,441	18,529	1,731
41,000	18,441	18,529	2,033
42,000	18,441	18,529	1,897
43,000	18,441	18,529	2,031
44,000	18,441	18,529	2,040
45,000	18,441	18,529	2,125
46,000	18,441	18,529	2,006
47,000	18,441	18,529	2,176
48,000	18,441	18,529	1,898
49,000	18,441	18,529	1,815
50,000	18,441	18,529	2,171
51,000	18,441	18,529	1,440
52,000	18,441	18,529	2,042
53,000	18,441	18,529	1,246
54,000	18,441	18,529	1,637
55,000	18,441	18,529	1,565
56,000	18,441	18,529	1,593
57,000	18,441	18,529	1,331
58,000	18,441	18,529	1,130
59,000	18,441	18,529	1,142
60,000	18,441	18,529	1,092
61,000	18,441	18,529	1,191
62,000	18,441	18,529	1,136
63,000	18,441	18,529	1,290
64,000	18,441	18,529	1,455
65,000	18,441	18,529	1,647
66,000	18,441	18,529	1,318
